Overall Rating,Type Of Traveller,Seat Type,Arrival,A Country V,Departure,D Country V,Date Flown
4,Couple Leisure,Business  ,,,,,5/1/2022
8,Solo Leisure,Premium Economy,,,,,4/1/2022
10,Solo Leisure,Premium Economy,,,,,5/1/2022
2,Solo Leisure,Economy  ,,,,,5/1/2022
10,Solo Leisure,Economy  ,,,,,4/1/2022
8,Family Leisure,Business  ,,,,,4/1/2022
1,Business,Business  ,,,,,4/1/2022
1,Solo Leisure,Business  ,,,,,3/1/2022
1,Couple Leisure,Economy  ,,,,,4/1/2022
1,Couple Leisure,Business  ,,,,,4/1/2022
4,Business,Business  ,,,,,4/1/2022
3,Couple Leisure,Business  ,,,,,4/1/2022
9,Business,Business  ,,,,,4/1/2022
1,Couple Leisure,Economy  ,,,,,4/1/2022
2,Family Leisure,Business  ,,,,,6/1/2022
7,Couple Leisure,Business  ,,,,,3/1/2022
1,Business,Business  ,,,,,4/1/2022
5,Couple Leisure,Business  ,,,,,3/1/2022
5,Business,Business  ,,,,,4/1/2022
2,Solo Leisure,Economy  ,,,,,4/1/2022
9,Couple Leisure,Business  ,,,,,3/1/2022
1,Business,Business  ,,,,,3/1/2022
3,Couple Leisure,Business  ,,,,,3/1/2022
4,Couple Leisure,Economy  ,,,,,3/1/2022
1,Couple Leisure,Economy  ,,,,,3/1/2022
3,Solo Leisure,First  ,,,,,3/1/2022
3,Family Leisure,Economy  ,,,,,3/1/2022
1,Couple Leisure,Economy  ,,,,,2/1/2022
1,Business,Economy  ,,,,,3/1/2022
1,Family Leisure,Premium Economy,,,,,3/1/2022
2,Business,Business  ,,,,,8/1/2021
1,Family Leisure,Economy  ,,,,,10/1/2021
6,Solo Leisure,Premium Economy,,,,,2/1/2022
1,Business,Business  ,,,,,3/1/2022
5,Couple Leisure,Business  ,,,,,3/1/2022
5,Couple Leisure,Business  ,,,,,2/1/2022
9,Solo Leisure,Premium Economy,,,,,2/1/2022
5,Business,Business  ,,,,,2/1/2022
1,Business,Economy  ,,,,,2/1/2022
10,Family Leisure,Business  ,,,,,2/1/2022
1,Couple Leisure,Economy  ,,,,,1/1/2022
10,Family Leisure,Business  ,,,,,2/1/2022
1,Family Leisure,Business  ,,,,,2/1/2022
10,Solo Leisure,Business  ,,,,,12/1/2021
10,Couple Leisure,Economy  ,,,,,2/1/2022
8,Couple Leisure,Business  ,,,,,1/1/2022
5,Couple Leisure,Business  ,,,,,1/1/2022
6,Couple Leisure,Business  ,,,,,1/1/2022
10,Solo Leisure,Economy  ,,,,,1/1/2022
1,Solo Leisure,Business  ,,,,,1/1/2022
3,Business,Economy  ,,,,,1/1/2022
1,Business,Economy  ,,,,,1/1/2022
1,Couple Leisure,Business  ,,,,,10/1/2021
3,Business,Business  ,,,,,12/1/2021
7,Couple Leisure,Business  ,,,,,12/1/2021
1,Solo Leisure,Premium Economy,,,,,11/1/2021
9,Solo Leisure,Business  ,,,,,12/1/2021
9,Solo Leisure,Business  ,,,,,12/1/2021
9,Business,Economy  ,,,,,12/1/2021
9,Couple Leisure,First  ,,,,,11/1/2021
2,Solo Leisure,Business  ,,,,,12/1/2021
6,Couple Leisure,Business  ,,,,,12/1/2021
1,Solo Leisure,Economy  ,,,,,12/1/2021
2,Couple Leisure,Business  ,,,,,12/1/2021
3,Business,Business  ,,,,,8/1/2021
1,Family Leisure,Business  ,,,,,1/1/2021
1,Solo Leisure,Economy  ,,,,,12/1/2021
1,Solo Leisure,Economy  ,,,,,7/1/2021
2,Family Leisure,Economy  ,,,,,11/1/2021
4,Business,Business  ,,,,,11/1/2021
1,Business,Business  ,,,,,11/1/2021
6,Solo Leisure,Business  ,,,,,11/1/2021
8,Solo Leisure,Business  ,,,,,11/1/2021
1,Business,Economy  ,,,,,11/1/2021
5,Couple Leisure,Business  ,,,,,11/1/2021
1,Solo Leisure,Economy  ,,,,,11/1/2021
2,Solo Leisure,Economy  ,,,,,10/1/2021
2,Couple Leisure,Economy  ,,,,,10/1/2021
10,Business,Economy  ,,,,,11/1/2021
6,Family Leisure,Business  ,,,,,10/1/2021
10,Couple Leisure,Business  ,,,,,9/1/2021
9,Couple Leisure,Premium Economy,,,,,10/1/2021
8,Business,Economy  ,,,,,10/1/2021
8,Family Leisure,Business  ,,,,,10/1/2021
10,Couple Leisure,Economy  ,,,,,10/1/2021
6,Solo Leisure,Premium Economy,,,,,10/1/2021
10,Business,Business  ,,,,,10/1/2021
1,Solo Leisure,Economy  ,,,,,11/1/2020
2,Family Leisure,Economy  ,,,,,10/1/2021
7,Couple Leisure,Business  ,,,,,10/1/2021
1,Business,Business  ,,,,,9/1/2021
9,Solo Leisure,Premium Economy,,,,,10/1/2021
8,Business,Economy  ,,,,,9/1/2021
2,Couple Leisure,Business  ,,,,,9/1/2021
3,Business,Business  ,,,,,9/1/2021
7,Couple Leisure,Business  ,,,,,9/1/2021
8,Family Leisure,Business  ,,,,,9/1/2021
3,Solo Leisure,Economy  ,,,,,9/1/2021
1,Business,Economy  ,,,,,10/1/2020
2,Family Leisure,Economy  ,,,,,9/1/2021
1,Business,Business  ,,,,,8/1/2021
1,Solo Leisure,Economy  ,,,,,9/1/2021
1,Couple Leisure,Economy  ,,,,,8/1/2021
1,Business,Economy  ,,,,,8/1/2021
5,Solo Leisure,Economy  ,,,,,8/1/2021
10,Solo Leisure,Economy  ,,,,,8/1/2021
8,Family Leisure,Economy  ,,,,,8/1/2021
1,Family Leisure,Business  ,,,,,8/1/2021
2,Business,Business  ,,,,,8/1/2021
6,Couple Leisure,Business  ,,,,,7/1/2021
1,Family Leisure,Economy  ,,,,,4/1/2021
1,Solo Leisure,Premium Economy,,,,,7/1/2021
8,Family Leisure,Business  ,,,,,7/1/2021
7,Family Leisure,Business  ,,,,,7/1/2021
4,Solo Leisure,Business  ,,,,,6/1/2021
9,Solo Leisure,Economy  ,,,,,6/1/2021
9,Couple Leisure,Business  ,,,,,5/1/2021
1,Family Leisure,Economy  ,,,,,1/1/2021
9,Solo Leisure,Economy  ,,,,,5/1/2021
8,Business,Business  ,,,,,4/1/2021
5,Solo Leisure,Economy  ,,,,,4/1/2021
4,Solo Leisure,Economy  ,,,,,12/1/2020
1,Couple Leisure,Economy  ,,,,,2/1/2021
1,Family Leisure,Economy  ,,,,,11/1/2020
1,Solo Leisure,Economy  ,,,,,1/1/2021
10,Solo Leisure,Economy  ,,,,,2/1/2021
10,Solo Leisure,Economy  ,,,,,12/1/2020
4,Solo Leisure,Premium Economy,,,,,7/1/2020
7,Solo Leisure,Business  ,London,,,,12/1/2020
10,Couple Leisure,Economy  ,,,,,11/1/2019
5,Family Leisure,Economy  ,,,,,10/1/2020
10,Solo Leisure,Business  ,,,,,9/1/2020
1,Couple Leisure,Economy  ,,,,,8/1/2020
1,Couple Leisure,Economy  ,,,,,2/1/2020
2,Business,Economy  ,,,,,8/1/2020
10,Solo Leisure,Economy  ,,,,,7/1/2020
2,Solo Leisure,Premium Economy,,,,,3/1/2020
1,Family Leisure,Economy  ,,,,,7/1/2020
1,Solo Leisure,Economy  ,,,,,4/1/2020
1,Business,Economy  ,,,,,2/1/2020
8,Business,Economy  ,,,,,11/1/2019
1,Business,First  ,,,,,5/1/2020
1,Couple Leisure,Economy  ,,,,,3/1/2020
1,Solo Leisure,Premium Economy,,,,,4/1/2020
1,Solo Leisure,Economy  ,,,,,5/1/2020
1,Family Leisure,Premium Economy,,,,,3/1/2020
1,Couple Leisure,Economy  ,,,,,3/1/2020
10,Couple Leisure,Business  ,,,,,2/1/2020
8,Couple Leisure,Business  ,,,,,2/1/2020
1,Solo Leisure,Economy  ,,,,,3/1/2020
2,Business,Economy  ,,,,,4/1/2020
7,Solo Leisure,Economy  ,,,,,3/1/2020
1,Business,Economy  ,,,,,3/1/2020
1,Business,Economy  ,,,,,4/1/2020
3,Solo Leisure,Business  ,,,,,3/1/2020
1,Solo Leisure,Economy  ,,,,,3/1/2020
10,Couple Leisure,Premium Economy,,,,,3/1/2020
1,Business,Economy  ,,,,,3/1/2020
1,Business,Business  ,,,,,3/1/2020
1,Business,Business  ,,,,,2/1/2020
3,Business,Economy  ,,,,,10/1/2019
2,Business,Business  ,,,,,3/1/2020
1,Couple Leisure,Economy  ,,,,,3/1/2020
8,Solo Leisure,Economy  ,,,,,1/1/2020
9,Family Leisure,Economy  ,,,,,1/1/2020
9,Couple Leisure,Economy  ,,,,,3/1/2020
8,Couple Leisure,Economy  ,,,,,2/1/2020
2,Business,Business  ,,,,,2/1/2020
1,Solo Leisure,Economy  ,,,,,2/1/2020
10,Solo Leisure,Premium Economy,,,,,2/1/2020
3,Business,Business  ,,,,,2/1/2020
6,Solo Leisure,First  ,,,,,2/1/2020
1,Couple Leisure,Premium Economy,,,,,2/1/2020
4,Couple Leisure,Business  ,,,,,2/1/2020
1,Solo Leisure,Economy  ,,,,,2/1/2020
3,Couple Leisure,Business  ,,,,,2/1/2020
1,Couple Leisure,Economy  ,,,,,1/1/2020
9,Solo Leisure,Economy  ,,,,,1/1/2020
8,Solo Leisure,Business  ,,,,,10/1/2019
1,Solo Leisure,Economy  ,,,,,7/1/2019
3,Business,Business  ,,,,,1/1/2020
7,Family Leisure,Economy  ,,,,,1/1/2020
7,Couple Leisure,Business  ,,,,,1/1/2020
3,Business,Business  ,,,,,1/1/2020
5,Business,Business  ,,,,,1/1/2020
10,Solo Leisure,Economy  ,,,,,12/1/2019
8,Business,Business  ,,,,,1/1/2020
5,Solo Leisure,Economy  ,,,,,1/1/2020
6,Solo Leisure,Economy  ,,,,,1/1/2020
1,Family Leisure,Economy  ,,,,,12/1/2019
7,Solo Leisure,Economy  ,,,,,1/1/2020
9,Solo Leisure,First  ,,,,,1/1/2020
3,Business,Economy  ,,,,,1/1/2020
1,Couple Leisure,Business  ,,,,,1/1/2020
9,Solo Leisure,Economy  ,,,,,1/1/2020
2,Business,Business  ,,,,,1/1/2020
7,Solo Leisure,Economy  ,,,,,12/1/2019
1,Couple Leisure,Business  ,,,,,1/1/2020
2,Solo Leisure,Premium Economy,,,,,1/1/2020
9,Solo Leisure,Business  ,,,,,1/1/2020
10,Solo Leisure,Business  ,,,,,12/1/2019
3,Business,Business  ,,,,,1/1/2020
3,Couple Leisure,Economy  ,,,,,1/1/2020
5,Couple Leisure,Business  ,,,,,12/1/2019
3,Solo Leisure,Economy  ,,,,,1/1/2020
2,Solo Leisure,Economy  ,,,,,12/1/2019
9,Solo Leisure,Business  ,,,,,12/1/2019
3,Family Leisure,Economy  ,,,,,12/1/2019
1,Solo Leisure,Economy  ,,,,,12/1/2019
6,Solo Leisure,Economy  ,,,,,12/1/2019
7,Solo Leisure,Business  ,,,,,10/1/2019
10,Couple Leisure,Business  ,,,,,12/1/2019
1,Solo Leisure,Economy  ,,,,,12/1/2019
1,Family Leisure,Economy  ,,,,,12/1/2019
1,Couple Leisure,Economy  ,,,,,8/1/2019
4,Business,Economy  ,,,,,12/1/2019
1,Family Leisure,Premium Economy,,,,,10/1/2019
1,Solo Leisure,Economy  ,,,,,12/1/2019
9,Business,Business  ,,,,,12/1/2019
1,Business,Economy  ,,,,,11/1/2019
8,Solo Leisure,Business  ,,,,,11/1/2019
1,Family Leisure,Economy  ,,,,,11/1/2019
7,Couple Leisure,Business  ,,,,,12/1/2019
9,Solo Leisure,First  ,,,,,11/1/2019
8,Solo Leisure,Business  ,,,,,11/1/2019
1,Couple Leisure,Business  ,,,,,11/1/2019
3,Solo Leisure,Business  ,,,,,12/1/2019
5,Business,Business  ,,,,,11/1/2019
1,Business,Economy  ,,,,,11/1/2019
4,Couple Leisure,Economy  ,,,,,11/1/2019
3,Business,Premium Economy,,,,,11/1/2019
1,Solo Leisure,Economy  ,,,,,11/1/2019
9,Family Leisure,Economy  ,,,,,11/1/2019
4,Family Leisure,Economy  ,,,,,11/1/2019
5,Couple Leisure,Economy  ,,,,,11/1/2019
1,Business,Business  ,,,,,11/1/2019
1,Family Leisure,Economy  ,,,,,11/1/2019
10,Business,Business  ,,,,,11/1/2019
2,Solo Leisure,Economy  ,,,,,11/1/2019
2,Couple Leisure,Economy  ,,,,,11/1/2019
2,Couple Leisure,Business  ,,,,,11/1/2019
9,Business,Economy  ,,,,,11/1/2019
10,Solo Leisure,Economy  ,,,,,11/1/2019
10,Family Leisure,Economy  ,,,,,11/1/2019
3,Solo Leisure,Economy  ,,,,,11/1/2019
1,Couple Leisure,Economy  ,,,,,9/1/2019
10,Couple Leisure,Business  ,,,,,10/1/2019
1,Couple Leisure,Economy  ,,,,,10/1/2019
1,Business,Premium Economy,,,,,10/1/2019
5,Couple Leisure,Business  ,,,,,10/1/2019
4,Solo Leisure,Economy  ,,,,,10/1/2019
8,Family Leisure,Economy  ,,,,,10/1/2019
9,Couple Leisure,Economy  ,,,,,10/1/2019
1,Solo Leisure,Economy  ,,,,,10/1/2019
10,Couple Leisure,Business  ,,,,,10/1/2019
10,Solo Leisure,Business  ,,,,,10/1/2019
1,Business,Economy  ,,,,,10/1/2019
10,Business,Economy  ,,,,,10/1/2019
2,Business,Business  ,,,,,10/1/2019
1,Solo Leisure,Economy  ,,,,,10/1/2019
3,Business,Economy  ,,,,,10/1/2019
1,Couple Leisure,Premium Economy,,,,,10/1/2019
2,Solo Leisure,Premium Economy,,,,,10/1/2019
10,Couple Leisure,Business  ,,,,,10/1/2019
1,Couple Leisure,Economy  ,,,,,10/1/2019
5,Business,Economy  ,,,,,10/1/2019
2,Couple Leisure,Premium Economy,,,,,9/1/2019
8,Solo Leisure,Economy  ,,,,,9/1/2019
9,Couple Leisure,Economy  ,,,,,9/1/2019
4,Couple Leisure,Premium Economy,,,,,9/1/2019
2,Couple Leisure,Economy  ,,,,,9/1/2019
10,Business,Business  ,,,,,9/1/2019
1,Solo Leisure,Economy  ,,,,,10/1/2019
10,Couple Leisure,Economy  ,,,,,10/1/2019
1,Business,Economy  ,,,,,10/1/2019
10,Family Leisure,Economy  ,,,,,10/1/2019
8,Couple Leisure,Business  ,,,,,10/1/2019
7,Couple Leisure,Premium Economy,,,,,8/1/2019
9,Solo Leisure,Premium Economy,,,,,9/1/2019
1,Couple Leisure,Economy  ,,,,,9/1/2019
8,Couple Leisure,Business  ,,,,,9/1/2019
7,Couple Leisure,Business  ,,,,,9/1/2019
9,Solo Leisure,Business  ,,,,,9/1/2019
9,Solo Leisure,Economy  ,,,,,9/1/2019
1,Couple Leisure,Business  ,,,,,9/1/2019
3,Business,Economy  ,,,,,9/1/2019
4,Couple Leisure,Business  ,,,,,9/1/2019
5,Family Leisure,Premium Economy,,,,,8/1/2019
1,Solo Leisure,Economy  ,,,,,9/1/2019
1,Couple Leisure,Business  ,,,,,9/1/2019
1,Couple Leisure,Economy  ,,,,,9/1/2019
5,Business,Economy  ,,,,,9/1/2019
4,Solo Leisure,Economy  ,,,,,9/1/2019
10,Couple Leisure,Business  ,,,,,8/1/2019
9,Couple Leisure,Economy  ,,,,,9/1/2019
1,Family Leisure,Business  ,,,,,7/1/2019
3,Solo Leisure,Business  ,,,,,9/1/2019
8,Couple Leisure,Business  ,,,,,9/1/2019
8,Family Leisure,Economy  ,,,,,8/1/2019
2,Couple Leisure,Business  ,,,,,8/1/2019
4,Business,Premium Economy,,,,,5/1/2019
2,Family Leisure,Business  ,,,,,8/1/2019
10,Solo Leisure,Economy  ,,,,,7/1/2019
1,Business,Business  ,,,,,7/1/2019
1,Solo Leisure,Economy  ,,,,,2/1/2019
9,Family Leisure,First  ,,,,,8/1/2019
1,Family Leisure,Premium Economy,,,,,6/1/2019
2,Couple Leisure,Economy  ,,,,,8/1/2019
6,Business,Business  ,,,,,7/1/2019
10,Family Leisure,Business  ,,,,,8/1/2019
9,Family Leisure,Economy  ,,,,,8/1/2019
1,Couple Leisure,Premium Economy,,,,,8/1/2019
3,Family Leisure,Economy  ,,,,,8/1/2019
6,Family Leisure,Economy  ,,,,,8/1/2019
1,Business,Economy  ,,,,,6/1/2019
1,Business,Business  ,,,,,8/1/2019
10,Solo Leisure,Economy  ,,,,,7/1/2019
2,Couple Leisure,Business  ,,,,,8/1/2019
2,Couple Leisure,Business  ,,,,,8/1/2019
1,Solo Leisure,Economy  ,,,,,8/1/2019
1,Solo Leisure,Economy  ,,,,,8/1/2019
1,Solo Leisure,Economy  ,,,,,8/1/2019
1,Couple Leisure,Business  ,,,,,8/1/2019
1,Couple Leisure,Economy  ,,,,,8/1/2019
3,Couple Leisure,Economy  ,,,,,7/1/2019
1,Solo Leisure,Business  ,,,,,7/1/2019
6,Family Leisure,Economy  ,,,,,7/1/2019
3,Business,Premium Economy,,,,,7/1/2019
2,Solo Leisure,Business  ,,,,,7/1/2019
5,Business,Economy  ,,,,,6/1/2019
6,Solo Leisure,Economy  ,,,,,7/1/2019
2,Family Leisure,Economy  ,,,,,7/1/2019
1,Business,Business  ,,,,,7/1/2019
8,Family Leisure,Economy  ,,,,,7/1/2019
5,Family Leisure,Economy  ,,,,,7/1/2019
1,Family Leisure,Economy  ,,,,,7/1/2019
10,Solo Leisure,Premium Economy,,,,,7/1/2019
9,Family Leisure,Economy  ,,,,,7/1/2019
3,Solo Leisure,Business  ,,,,,7/1/2019
8,Solo Leisure,Business  ,,,,,6/1/2019
2,Couple Leisure,Business  ,,,,,7/1/2019
2,Business,Business  ,,,,,7/1/2019
7,Family Leisure,Premium Economy,,,,,7/1/2019
1,Couple Leisure,Business  ,,,,,7/1/2019
1,Solo Leisure,Economy  ,,,,,9/1/2018
3,Business,Business  ,,,,,7/1/2019
1,Family Leisure,Economy  ,,,,,7/1/2019
1,Couple Leisure,Economy  ,,,,,7/1/2019
3,Solo Leisure,Economy  ,,,,,7/1/2019
9,Business,Economy  ,,,,,7/1/2019
2,Couple Leisure,Economy  ,,,,,7/1/2019
10,Solo Leisure,Economy  ,,,,,6/1/2019
1,Business,Economy  ,,,,,6/1/2019
10,Solo Leisure,Economy  ,,,,,6/1/2019
1,Business,Economy  ,,,,,6/1/2019
7,Solo Leisure,Economy  ,,,,,6/1/2019
10,Family Leisure,Economy  ,,,,,6/1/2019
10,Family Leisure,Business  ,,,,,6/1/2019
10,Couple Leisure,Business  ,,,,,6/1/2019
6,Couple Leisure,Economy  ,,,,,6/1/2019
8,Couple Leisure,Economy  ,,,,,6/1/2019
3,Business,Economy  ,,,,,6/1/2019
1,Solo Leisure,Economy  ,,,,,2/1/2019
5,Business,Economy  ,,,,,6/1/2019
5,Family Leisure,Economy  ,,,,,10/1/2018
6,Solo Leisure,Economy  ,,,,,1/1/2019
1,Solo Leisure,Business  ,,,,,6/1/2019
1,Business,Business  ,,,,,6/1/2019
4,Couple Leisure,Economy  ,,,,,5/1/2019
3,Solo Leisure,Economy  ,,,,,6/1/2019
5,Solo Leisure,Economy  ,,,,,4/1/2019
10,Family Leisure,Economy  ,,,,,6/1/2019
1,Business,Business  ,,,,,5/1/2019
10,Solo Leisure,First  ,,,,,6/1/2019
1,Couple Leisure,Economy  ,,,,,6/1/2019
8,Family Leisure,Economy  ,,,,,5/1/2019
1,Couple Leisure,Economy  ,,,,,5/1/2019
6,Business,Economy  ,,,,,6/1/2019
8,Couple Leisure,First  ,,,,,5/1/2019
1,Couple Leisure,Economy  ,,,,,5/1/2019
5,Couple Leisure,Economy  ,,,,,5/1/2019
9,Business,Economy  ,,,,,5/1/2019
10,Couple Leisure,Business  ,,,,,5/1/2019
9,Couple Leisure,Business  ,,,,,5/1/2019
7,Couple Leisure,Business  ,,,,,5/1/2019
1,Business,Economy  ,,,,,5/1/2019
5,Couple Leisure,Economy  ,,,,,5/1/2019
3,Solo Leisure,Economy  ,,,,,5/1/2019
4,Solo Leisure,Business  ,,,,,5/1/2019
3,Business,Economy  ,,,,,5/1/2019
3,Couple Leisure,Economy  ,,,,,5/1/2019
4,Couple Leisure,Economy  ,,,,,5/1/2019
10,Family Leisure,Business  ,,,,,5/1/2019
8,Solo Leisure,Economy  ,,,,,5/1/2019
6,Solo Leisure,Economy  ,,,,,5/1/2019
7,Couple Leisure,First  ,,,,,5/1/2019
8,Couple Leisure,Economy  ,,,,,5/1/2019
1,Business,Economy  ,,,,,5/1/2019
1,Business,Business  ,,,,,5/1/2019
1,Couple Leisure,Premium Economy,,,,,3/1/2019
2,Business,Business  ,,,,,5/1/2019
9,Couple Leisure,Economy  ,,,,,5/1/2019
1,Couple Leisure,Business  ,,,,,5/1/2019
8,Business,First  ,,,,,5/1/2019
10,Solo Leisure,Economy  ,,,,,5/1/2019
2,Business,Business  ,,,,,4/1/2019
1,Couple Leisure,Economy  ,,,,,5/1/2019
9,Business,Economy  ,,,,,4/1/2019
1,Couple Leisure,Economy  ,,,,,4/1/2019
10,Solo Leisure,Business  ,,,,,12/1/2018
10,Couple Leisure,Business  ,,,,,4/1/2019
2,Solo Leisure,Economy  ,,,,,4/1/2019
4,Business,Business  ,,,,,4/1/2019
1,Business,Economy  ,,,,,4/1/2019
9,Couple Leisure,Economy  ,,,,,4/1/2019
7,Solo Leisure,Economy  ,,,,,4/1/2019
4,Business,Business  ,,,,,4/1/2019
10,Family Leisure,Business  ,,,,,4/1/2019
5,Business,Business  ,,,,,3/1/2019
6,Family Leisure,Business  ,,,,,4/1/2019
9,Couple Leisure,Economy  ,,,,,4/1/2019
5,Solo Leisure,Economy  ,,,,,4/1/2019
6,Solo Leisure,Economy  ,,,,,4/1/2019
10,Couple Leisure,First  ,,,,,11/1/2018
3,Couple Leisure,Business  ,,,,,3/1/2019
1,Couple Leisure,Economy  ,,,,,4/1/2019
1,Solo Leisure,Economy  ,,,,,4/1/2019
1,Family Leisure,Economy  ,,,,,9/1/2018
3,Solo Leisure,Economy  ,,,,,4/1/2019
10,Couple Leisure,Economy  ,,,,,3/1/2019
7,Family Leisure,Business  ,,,,,3/1/2019
10,Couple Leisure,Business  ,,,,,3/1/2019
2,Couple Leisure,Economy  ,,,,,3/1/2019
7,Solo Leisure,Economy  ,,,,,3/1/2019
8,Solo Leisure,First  ,,,,,3/1/2019
2,Business,First  ,,,,,3/1/2019
